Period,Customer → FL Orders ($),FL → Crocs Orders ($),Crocs → YY Orders ($),YY → SF Orders ($)
H1 2013,9,8,7,9
H2 2013,8,8,6,9
H1 2014,9,9,8,10
H2 2014,9,9,6,9
H1 2015,10,10,7,10
H2 2015,9,9,7,9
H1 2016,10,10,7,10
H2 2016,9,9,5,10
H1 2017,11,10,7,10
H2 2017,9,9,5,10
H1 2018,11,11,7,11
H2 2018,9,9,6,11
H1 2019,11,11,8,12
H2 2019,10,10,7,9
H1 2020,9,9,7,10
H2 2020,11,11,8,10
H1 2021,11,11,11,11
H2 2021,11,11,10,10
H1 2022,12,11,19,11
H2 2022,11,11,21,9
H1 2023,11,11,20,10
H2 2023,10,11,21,9
H1 2024,11,12,20,9
H2 2024,11,11,19,9
H1 2025,12,12,21,9
H2 2025,11,12,21,8
H1 2026,12,12,22,8
H2 2026,11,12,22,7
H1 2027,12,13,24,8
H2 2027,12,12,23,7
H1 2028,13,13,25,7
H2 2028,12,12,24,6
H1 2029,13,13,26,7
H2 2029,12,13,25,6
H1 2030,13,13,27,6
H2 2030,12,13,27,5
H1 2031,13,14,28,6
H2 2031,12,13,28,5
H1 2032,13,14,29,5
H2 2032,13,14,29,4
H1 2033,14,14,31,5
H2 2033,13,14,30,4
H1 2034,14,15,32,4
H2 2034,13,14,31,3
H1 2035,14,15,33,4
H2 2035,13,14,32,3
H1 2036,14,15,34,3
H2 2036,14,15,34,2
H1 2037,14,15,35,3
H2 2037,14,15,35,2
H1 2038,15,16,37,2
H2 2038,14,15,36,1