Period,Quarter,FL US Equity,FL_US_Equity_ActualValue,Units_at_45,Scaled_Units_at_45,Rounded_Scaled_Units_at_45,Units_at_49,Scaled_Units_at_49,Rounded_Scaled_Units_at_49,Units_at_50,Scaled_Units_at_50,Rounded_Scaled_Units_at_50,Units_at_55,Scaled_Units_at_55,Rounded_Scaled_Units_at_55
02/02/08,Q1 2008,34.5865,34586500.0,768588.8888888889,7.685888888888889,8,705846.9387755102,7.0584693877551015,7,691730.0,6.9173,7,628845.4545454546,6.288454545454546,6
03/05/08,Q2 2008,29.5159,29515900.0,655908.8888888889,6.559088888888889,7,602365.306122449,6.02365306122449,6,590318.0,5.90318,6,536652.7272727273,5.366527272727273,5
02/08/08,Q3 2008,29.4533,29453300.0,654517.7777777778,6.545177777777777,7,601087.7551020408,6.010877551020409,6,589066.0,5.89066,6,535514.5454545454,5.355145454545454,5
01/11/08,Q4 2008,29.8602,29860200.0,663560.0,6.6356,7,609391.8367346938,6.093918367346938,6,597204.0,5.97204,6,542912.7272727273,5.429127272727273,5
31/01/09,Q1 2009,29.3907,29390700.0,653126.6666666666,6.531266666666666,7,599810.2040816327,5.998102040816327,6,587814.0,5.87814,6,534376.3636363636,5.3437636363636365,5
02/05/09,Q2 2009,26.918,26918000.0,598177.7777777778,5.981777777777777,6,549346.9387755102,5.493469387755102,5,538360.0,5.3836,5,489418.1818181818,4.894181818181818,5
01/08/09,Q3 2009,25.6347,25634700.0,569660.0,5.6966,6,523157.14285714284,5.231571428571429,5,512694.0,5.12694,5,466085.45454545453,4.660854545454545,5
31/10/09,Q4 2009,27.7005,27700500.0,615566.6666666666,6.155666666666666,6,565316.3265306122,5.653163265306122,6,554010.0,5.5401,6,503645.45454545453,5.0364545454545455,5
30/01/10,Q1 2010,29.9854,29985400.0,666342.2222222222,6.663422222222223,7,611946.9387755102,6.119469387755101,6,599708.0,5.99708,6,545189.0909090909,5.45189090909091,5
01/05/10,Q2 2010,27.7944,27794400.0,617653.3333333334,6.176533333333333,6,567232.6530612245,5.672326530612245,6,555888.0,5.55888,6,505352.7272727273,5.053527272727273,5
31/07/10,Q3 2010,24.7583,24758300.0,550184.4444444445,5.501844444444445,6,505271.4285714286,5.052714285714286,5,495166.0,4.95166,5,450150.9090909091,4.501509090909091,5
30/10/10,Q4 2010,27.9196,27919600.0,620435.5555555555,6.204355555555555,6,569787.7551020408,5.697877551020408,6,558392.0,5.58392,6,507629.0909090909,5.0762909090909085,5
29/01/11,Q1 2011,30.1106,30110600.0,669124.4444444445,6.691244444444445,7,614502.0408163265,6.145020408163265,6,602212.0,6.02212,6,547465.4545454546,5.474654545454546,5
30/04/11,Q2 2011,30.5801,30580100.0,679557.7777777778,6.795577777777778,7,624083.6734693878,6.240836734693878,6,611602.0,6.11602,6,556001.8181818182,5.560018181818182,6
30/07/11,Q3 2011,27.7631,27763100.0,616957.7777777778,6.169577777777778,6,566593.8775510204,5.665938775510203,6,555262.0,5.55262,6,504783.63636363635,5.047836363636364,5
29/10/11,Q4 2011,29.4533,29453300.0,654517.7777777778,6.545177777777777,7,601087.7551020408,6.010877551020409,6,589066.0,5.89066,6,535514.5454545454,5.355145454545454,5
28/01/12,Q1 2012,31.9886,31988600.0,710857.7777777778,7.108577777777778,7,652828.5714285715,6.5282857142857145,7,639772.0,6.39772,6,581610.9090909091,5.816109090909091,6
28/04/12,Q2 2012,32.5833,32583300.0,724073.3333333334,7.240733333333334,7,664965.306122449,6.64965306122449,7,651666.0,6.51666,7,592423.6363636364,5.924236363636363,6
28/07/12,Q3 2012,29.3907,29390700.0,653126.6666666666,6.531266666666666,7,599810.2040816327,5.998102040816327,6,587814.0,5.87814,6,534376.3636363636,5.3437636363636365,5
27/10/12,Q4 2012,31.8947,31894700.0,708771.1111111111,7.087711111111111,7,650912.2448979592,6.509122448979592,7,637894.0,6.37894,6,579903.6363636364,5.799036363636364,6
02/02/13,Q1 2013,35.9637,35963700.0,799193.3333333334,7.991933333333334,8,733953.0612244898,7.339530612244898,7,719274.0,7.19274,7,653885.4545454546,6.538854545454546,7
04/05/13,Q2 2013,33.7101,33710100.0,749113.3333333334,7.491133333333334,7,687961.224489796,6.8796122448979595,7,674202.0,6.74202,7,612910.9090909091,6.129109090909091,6
03/08/13,Q3 2013,31.3313,31331300.0,696251.1111111111,6.9625111111111115,7,639414.2857142857,6.394142857142857,6,626626.0,6.26626,6,569660.0,5.6966,6
02/11/13,Q4 2013,33.9605,33960500.0,754677.7777777778,7.546777777777778,8,693071.4285714285,6.930714285714285,7,679210.0,6.7921,7,617463.6363636364,6.174636363636363,6
01/02/14,Q1 2014,37.8417,37841700.0,840926.6666666666,8.409266666666666,8,772279.5918367347,7.722795918367347,8,756834.0,7.56834,8,688030.9090909091,6.8803090909090905,7
03/05/14,Q2 2014,38.2486,38248600.0,849968.8888888889,8.499688888888889,8,780583.6734693878,7.805836734693878,8,764972.0,7.64972,8,695429.0909090909,6.9542909090909095,7
02/08/14,Q3 2014,34.9308,34930800.0,776240.0,7.7624,8,712873.4693877551,7.1287346938775515,7,698616.0,6.98616,7,635105.4545454546,6.351054545454546,6
01/11/14,Q4 2014,36.2141,36214100.0,804757.7777777778,8.047577777777777,8,739063.2653061225,7.390632653061225,7,724282.0,7.24282,7,658438.1818181818,6.584381818181818,7
31/01/15,Q1 2015,40.1266,40126600.0,891702.2222222222,8.917022222222222,9,818910.2040816327,8.189102040816326,8,802532.0,8.02532,8,729574.5454545454,7.295745454545454,7
02/05/15,Q2 2015,38.9998,38999800.0,866662.2222222222,8.666622222222223,9,795914.2857142857,7.959142857142857,8,779996.0,7.79996,8,709087.2727272727,7.090872727272727,7
01/08/15,Q3 2015,35.7446,35744600.0,794324.4444444445,7.943244444444445,8,729481.6326530612,7.294816326530611,7,714892.0,7.14892,7,649901.8181818182,6.499018181818182,6
31/10/15,Q4 2015,37.1531,37153100.0,825624.4444444445,8.256244444444444,8,758226.5306122449,7.582265306122449,8,743062.0,7.43062,7,675510.9090909091,6.755109090909091,7
30/01/16,Q1 2016,41.6916,41691600.0,926480.0,9.2648,9,850848.9795918367,8.508489795918367,9,833832.0,8.33832,8,758029.0909090909,7.580290909090909,8
30/04/16,Q2 2016,40.4083,40408300.0,897962.2222222222,8.979622222222222,9,824659.1836734693,8.246591836734693,8,808166.0,8.08166,8,734696.3636363636,7.346963636363636,7
30/07/16,Q3 2016,37.3409,37340900.0,829797.7777777778,8.297977777777778,8,762059.1836734693,7.620591836734693,8,746818.0,7.46818,7,678925.4545454546,6.789254545454546,7
29/10/16,Q4 2016,38.9998,38999800.0,866662.2222222222,8.666622222222223,9,795914.2857142857,7.959142857142857,8,779996.0,7.79996,8,709087.2727272727,7.090872727272727,7
28/01/17,Q1 2017,43.82,43820000.0,973777.7777777778,9.737777777777778,10,894285.7142857143,8.942857142857143,9,876400.0,8.764,9,796727.2727272727,7.967272727272727,8
29/04/17,Q2 2017,41.3473,41347300.0,918828.8888888889,9.18828888888889,9,843822.4489795918,8.438224489795918,8,826946.0,8.26946,8,751769.0909090909,7.517690909090909,8
29/07/17,Q3 2017,37.4974,37497400.0,833275.5555555555,8.332755555555556,8,765253.0612244898,7.652530612244898,8,749948.0,7.49948,7,681770.9090909091,6.817709090909091,7
28/10/17,Q4 2017,40.377,40377000.0,897266.6666666666,8.972666666666667,9,824020.4081632653,8.240204081632653,8,807540.0,8.0754,8,734127.2727272727,7.341272727272727,7
03/02/18,Q1 2018,47.4821,47482100.0,1055157.7777777778,10.551577777777778,11,969022.4489795918,9.690224489795918,10,949642.0,9.49642,9,863310.9090909091,8.633109090909091,9
05/05/18,Q2 2018,42.5367,42536700.0,945260.0,9.4526,9,868095.918367347,8.680959183673469,9,850734.0,8.50734,9,773394.5454545454,7.733945454545454,8
04/08/18,Q3 2018,38.9059,38905900.0,864575.5555555555,8.645755555555555,9,793997.9591836735,7.939979591836735,8,778118.0,7.78118,8,707380.0,7.0738,7
03/11/18,Q4 2018,39.8136,39813600.0,884746.6666666666,8.847466666666666,9,812522.4489795918,8.125224489795919,8,796272.0,7.96272,8,723883.6363636364,7.238836363636364,7
02/02/19,Q1 2019,48.1081,48108100.0,1069068.888888889,10.69068888888889,11,981797.9591836735,9.817979591836735,10,962162.0,9.62162,10,874692.7272727273,8.746927272727273,9
04/05/19,Q2 2019,43.4757,43475700.0,966126.6666666666,9.661266666666666,10,887259.1836734693,8.872591836734694,9,869514.0,8.69514,9,790467.2727272727,7.904672727272727,8
03/08/19,Q3 2019,38.812,38812000.0,862488.8888888889,8.624888888888888,9,792081.6326530612,7.920816326530612,8,776240.0,7.7624,8,705672.7272727273,7.056727272727273,7
02/11/19,Q4 2019,41.0656,41065600.0,912568.8888888889,9.125688888888888,9,838073.4693877551,8.380734693877551,8,821312.0,8.21312,8,746647.2727272727,7.466472727272727,7
01/02/20,Q1 2020,47.6073,47607300.0,1057940.0,10.5794,11,971577.5510204082,9.715775510204082,10,952146.0,9.52146,10,865587.2727272727,8.655872727272728,9
02/05/20,Q2 2020,28.3265,28326500.0,629477.7777777778,6.294777777777777,6,578091.8367346938,5.780918367346938,6,566530.0,5.6653,6,515027.2727272727,5.150272727272727,5
01/08/20,Q3 2020,48.1707,48170700.0,1070460.0,10.7046,11,983075.5102040817,9.830755102040817,10,963414.0,9.63414,10,875830.9090909091,8.75830909090909,9
31/10/20,Q4 2020,45.5728,45572800.0,1012728.8888888889,10.127288888888888,10,930057.1428571428,9.300571428571429,9,911456.0,9.11456,9,828596.3636363636,8.285963636363636,8
30/01/21,Q1 2021,45.8545,45854500.0,1018988.8888888889,10.18988888888889,10,935806.1224489796,9.358061224489797,9,917090.0,9.1709,9,833718.1818181818,8.337181818181818,8
01/05/21,Q2 2021,43.9452,43945200.0,976560.0,9.7656,10,896840.8163265307,8.968408163265307,9,878904.0,8.78904,9,799003.6363636364,7.990036363636364,8
31/07/21,Q3 2021,46.2301,46230100.0,1027335.5555555555,10.273355555555556,10,943471.4285714285,9.434714285714286,9,924602.0,9.24602,9,840547.2727272727,8.405472727272727,8
30/10/21,Q4 2021,44.7277,44727700.0,993948.8888888889,9.939488888888889,10,912810.2040816327,9.128102040816326,9,894554.0,8.94554,9,813230.9090909091,8.132309090909091,8
29/01/22,Q1 2022,49.0784,49078400.0,1090631.111111111,10.90631111111111,11,1001600.0,10.016,10,981568.0,9.81568,10,892334.5454545454,8.923345454545455,9
30/04/22,Q2 2022,44.9155,44915500.0,998122.2222222222,9.981222222222222,10,916642.8571428572,9.166428571428572,9,898310.0,8.9831,9,816645.4545454546,8.166454545454545,8
30/07/22,Q3 2022,44.1643,44164300.0,981428.8888888889,9.814288888888889,10,901312.2448979592,9.013122448979592,9,883286.0,8.83286,9,802987.2727272727,8.029872727272727,8
29/10/22,Q4 2022,46.2301,46230100.0,1027335.5555555555,10.273355555555556,10,943471.4285714285,9.434714285714286,9,924602.0,9.24602,9,840547.2727272727,8.405472727272727,8
28/01/23,Q1 2023,51.0816,51081600.0,1135146.6666666667,11.351466666666667,11,1042481.6326530612,10.424816326530612,10,1021632.0,10.21632,10,928756.3636363636,9.287563636363636,9
29/04/23,Q2 2023,42.2237,42223700.0,938304.4444444445,9.383044444444446,9,861708.1632653062,8.617081632653061,9,844474.0,8.44474,8,767703.6363636364,7.677036363636364,8
29/07/23,Q3 2023,42.4741,42474100.0,943868.8888888889,9.438688888888889,9,866818.3673469388,8.668183673469388,9,849482.0,8.49482,8,772256.3636363636,7.7225636363636365,8
28/10/23,Q4 2023,45.1659,45165900.0,1003686.6666666666,10.036866666666667,10,921753.0612244898,9.217530612244898,9,903318.0,9.03318,9,821198.1818181818,8.211981818181817,8
03/02/24,Q1 2024,54.6498,54649800.0,1214440.0,12.1444,12,1115302.0408163266,11.153020408163266,11,1092996.0,10.92996,11,993632.7272727273,9.936327272727272,10
04/05/24,Q2 2024,41.7855,41785500.0,928566.6666666666,9.285666666666666,9,852765.306122449,8.52765306122449,9,835710.0,8.3571,8,759736.3636363636,7.597363636363636,8
03/08/24,Q3 2024,42.9749,42974900.0,954997.7777777778,9.549977777777778,10,877038.775510204,8.77038775510204,9,859498.0,8.59498,9,781361.8181818182,7.813618181818183,8
02/11/24,Q4 2024,43.1314,43131400.0,958475.5555555555,9.584755555555555,10,880232.6530612245,8.802326530612245,9,862628.0,8.62628,9,784207.2727272727,7.842072727272727,8
01/02/25,Q1 2025,49.454,49454000.0,1098977.7777777778,10.989777777777778,11,1009265.306122449,10.09265306122449,10,989080.0,9.8908,10,899163.6363636364,8.991636363636363,9
